Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Mookie Betts","LAD",43.062804596413514,2.387312795035541,2.3193490505218506,-2.0867624282836914,45.450117391449055,0.23258662223815918,1.4416679698042572,16.688582938164473,63.812954921655944,6.380009239234787,51.040073913878295,"Mookie Betts",13611,605141
"Adolis García","TEX",17.664511761266496,4.019775902386755,8.872793197631836,-5.329217433929443,21.68428766365325,3.5435757637023926,1.613793752156198,16.22328787483275,43.06494505434459,4.305626462074624,34.44501169659699,"Adolis Garcia",19287,666969
"José Ramírez","CLE",13.370753342932296,4.744058339856565,3.6186275482177734,-0.7813219428062439,18.11481168278886,2.8373056054115295,1.6168793998658657,16.25430754572153,38.82330423378779,3.881547877124407,31.052383016995257,"Jose Ramirez",13510,608070
"Brandon Nimmo","NYM",19.656428283029324,-1.5088460450060666,-2.345705270767212,0.8447640538215637,18.147582238023258,-1.5009412169456482,1.4416679698042572,16.688582938164473,34.77689192904634,3.47698820861041,27.81590566888328,"Brandon Nimmo",12927,607043
"Matt Chapman","TOR",8.896582948660882,1.3930124719627202,4.065117835998535,1.5483533143997192,10.289595420623602,5.613471150398254,1.5397382071241736,15.478815773501992,32.92162055164802,3.2914984668546623,26.3319877348373,"Matt Chapman",16505,656305
"Manny Machado","SDP",7.433182909305328,-2.9478127765469253,9.052772521972656,0.3006395995616913,4.485370132758403,9.353412121534348,1.2755277948454022,14.765363343060017,29.87967339219817,2.9873650662562867,23.898920530050294,"Manny Machado",11493,592518
"Xander Bogaerts","SDP",3.3062855427125033,-1.0563363153487444,2.2991552352905273,4.386144638061523,2.249949227363759,6.685299873352051,1.371996283531189,15.882071495056152,26.18931687930315,2.6184038000487213,20.94723040038977,"Xander Bogaerts",12161,593428
"Trea Turner","PHI",-7.667473277717927,5.219776039477438,-2.270397186279297,5.222907543182373,-2.4476972382404893,2.952510356903076,1.4657850919757038,16.967759976163507,18.938358186801796,1.893454085554792,15.147632684438337,"Trea Turner",16252,607208
"Brandon Drury","LAA",5.7011346660663085,-3.388923375867307,3.8843348026275635,-0.8847739696502686,2.3122112901990013,2.999560832977295,1.1324327094480395,11.384219216182828,17.828424048807165,1.7824830442663613,14.25986435413089,"Brandon Drury",11615,592273
"J.D. Davis","SFG",1.0618081232193668,-1.8210493908263743,3.0029661655426025,-0.18404246866703033,-0.7592412676070075,2.818923696875572,1.1844186666421592,13.710694532841444,16.954795628752166,1.6951378116493805,13.561102493195044,"J.D. Davis",16219,605204
