player_id,name,year,pa,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,avg_bip,bip_2023,z_scores_avg_bip,zscore_difference
408234, Miguel Cabrera,2020.6666666666667,502.6666666666667,0.264,0.246,0.0179999999999999,0.367,0.39566666666666667,-0.0286666666666666,0.29933333333333334,0.307,-0.007666666666666666,351.3333333333333,195,0.19906947371204073,-1.226383027593352
444482, David Peralta,2020.0,516.25,0.2695,0.254,0.015499999999999976,0.4485,0.39875,0.049749999999999975,0.33375,0.315,0.018750000000000003,365.5,257,0.36791281306139734,-0.5858278093392512
453568, Charlie Blackmon,2020.0,622.25,0.28475,0.27949999999999997,0.00525,0.477,0.449,0.027999999999999924,0.35125,0.34325,0.008000000000000024,457.5,207,1.4644013227183943,-2.335057091257101
455117, Martin Maldonado,2020.0,395.75,0.199,0.1945,0.004499999999999975,0.34525,0.33425,0.010999999999999949,0.27125,0.268,0.0032499999999999994,252.5,189,-0.9788611172781749,-0.12678132927443886
456781, Donovan Solano,2020.6666666666667,292.0,0.298,0.28600000000000003,0.011999999999999967,0.41500000000000004,0.425,-0.009999999999999967,0.32966666666666666,0.331,-0.0013333333333333662,213.66666666666666,223,-1.4416905063181755,0.7799117849029417
457705, Andrew McCutchen,2020.0,524.5,0.2425,0.2515,-0.008999999999999975,0.42725,0.431,-0.00375,0.33725,0.3465,-0.009249999999999975,336.75,270,0.02526015379358583,-0.07346254928361787
457759, Justin Turner,2020.0,529.75,0.2895,0.27875,0.01075,0.484,0.47475,0.00925,0.36675,0.364,0.00275,384.25,360,0.5913819386708397,0.5353490559086636
462101, Elvis Andrus,2020.0,548.5,0.25575000000000003,0.257,-0.0012499999999999994,0.371,0.371,2.2551405187698492e-17,0.294,0.29925,-0.005249999999999975,427.75,244,1.1098303100847458,-1.4974579071504213
467793, Carlos Santana,2020.0,632.5,0.2315,0.252,-0.02049999999999995,0.41175,0.43925,-0.027499999999999976,0.32875,0.35025,-0.02149999999999995,438.75,354,1.240932197108952,-0.19253009520075093
474832, Brandon Belt,2020.0,437.75,0.2435,0.2385,0.005000000000000025,0.44099999999999995,0.46799999999999997,-0.027000000000000003,0.33875,0.34925,-0.010499999999999949,273.5,176,-0.7285756965955995,-0.5467793507448361
493329, Yuli Gurriel,2020.0,593.5,0.2875,0.26225,0.025249999999999925,0.44775,0.37,0.07774999999999997,0.33375,0.302,0.031749999999999924,483.75,227,1.7772580985716135,-2.386817558205979
500743, Miguel Rojas,2020.0,525.0,0.25925,0.262,-0.002750000000000025,0.36,0.35324999999999995,0.006750000000000024,0.29125,0.29525,-0.00399999999999995,422.5,263,1.047258954914102,-1.1868450585206536
500871, Eduardo Escobar,2020.0,617.75,0.2585,0.24825,0.01025,0.4755,0.4435,0.03199999999999995,0.333,0.32275,0.010249999999999974,440.5,166,1.2617893154991666,-2.6676925172917727
502054, Tommy Pham,2020.0,601.75,0.25325000000000003,0.261,-0.00774999999999995,0.41775,0.4435,-0.02574999999999995,0.3325,0.34775,-0.015249999999999975,386.25,227,0.6152186454025135,-1.2247781050368791
502110, J.D. Martinez,2020.0,634.0,0.2985,0.289,0.0095,0.538,0.5475,-0.009499999999999925,0.38,0.38425,-0.004249999999999975,422.5,236,1.047258954914102,-1.5393250755415142
502671, Paul Goldschmidt,2020.0,675.5,0.29025,0.2705,0.019749999999999948,0.52525,0.52475,0.0005000000000000004,0.382,0.37675000000000003,0.005249999999999975,437.5,366,1.226034255401656,-0.020974368150850298
514888, Jose Altuve,2020.0,607.25,0.298,0.27175,0.02624999999999995,0.50575,0.4485,0.05725,0.37275,0.3455,0.027249999999999976,459.75,178,1.4912176177915273,-2.740463034241529
516416, Jean Segura,2020.0,551.0,0.28775,0.26575000000000004,0.02199999999999995,0.4145,0.38825,0.026249999999999926,0.325,0.3105,0.0145,443.0,255,1.2915851989137588,-1.5356098260820468
516782, Starling Marte,2020.0,555.75,0.2935,0.279,0.01449999999999995,0.47225,0.45725,0.015,0.35225,0.345,0.007249999999999975,411.25,248,0.9131774795484365,-1.2485858148332438
